Recognisable Name, Description, Qualified Name, Target, Ordinal, ClassAccess, MethodAccess,Don't Remap
random_1,null,Lnet/minecraft/world/World;<init>(Lnet/minecraft/world/storage/ISaveHandler;Lnet/minecraft/world/storage/WorldInfo;Lnet/minecraft/world/WorldProvider;Lnet/minecraft/profiler/Profiler;Z)V,Ljava/util/Random;nextInt()I,0,0x421,0x4,FALSE
random_2,null,Lnet/minecraft/world/World;updateWeatherBody()V,Ljava/util/Random;nextInt(I)I,0,0x421,0x1,TRUE
random_3,null,Lnet/minecraft/world/World;updateWeatherBody()V,Ljava/util/Random;nextInt(I)I,1,0x421,0x1,TRUE
random_4,null,Lnet/minecraft/world/World;updateWeatherBody()V,Ljava/util/Random;nextInt(I)I,2,0x421,0x1,TRUE
random_5,null,Lnet/minecraft/world/World;updateWeatherBody()V,Ljava/util/Random;nextInt(I)I,3,0x421,0x1,TRUE
random_6,null,Lnet/minecraft/world/World;setRandomSeed(III)Ljava/util/Random;,Ljava/util/Random;setSeed(J)V,0,0x421,0x1,FALSE
random_7,null,Lnet/minecraft/client/multiplayer/WorldClient;<init>(Lnet/minecraft/client/network/NetHandlerPlayClient;Lnet/minecraft/world/WorldSettings;ILnet/minecraft/world/EnumDifficulty;Lnet/minecraft/profiler/Profiler;)V,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_8,null,Lnet/minecraft/client/multiplayer/WorldClient;playMoodSoundAndCheckLight(IILnet/minecraft/world/chunk/Chunk;)V,Ljava/util/Random;nextInt(I)I,0,0x21,0x4,FALSE
random_9,null,Lnet/minecraft/client/multiplayer/WorldClient;playMoodSoundAndCheckLight(IILnet/minecraft/world/chunk/Chunk;)V,Ljava/util/Random;nextFloat()F,1,0x21,0x4,FALSE
random_10,null,Lnet/minecraft/client/multiplayer/WorldClient;playMoodSoundAndCheckLight(IILnet/minecraft/world/chunk/Chunk;)V,Ljava/util/Random;nextInt(I)I,2,0x21,0x4,FALSE
random_11,null,Lnet/minecraft/client/multiplayer/WorldClient;showBarrierParticles(IIIILjava/util/Random;ZLnet/minecraft/util/math/BlockPos$MutableBlockPos;)V,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_12,null,Lnet/minecraft/client/multiplayer/WorldClient;showBarrierParticles(IIIILjava/util/Random;ZLnet/minecraft/util/math/BlockPos$MutableBlockPos;)V,Ljava/util/Random;nextInt(I)I,1,0x21,0x1,FALSE
random_13,null,Lnet/minecraft/client/multiplayer/WorldClient;showBarrierParticles(IIIILjava/util/Random;ZLnet/minecraft/util/math/BlockPos$MutableBlockPos;)V,Ljava/util/Random;nextInt(I)I,2,0x21,0x1,FALSE
random_14,null,Lnet/minecraft/client/multiplayer/WorldClient;showBarrierParticles(IIIILjava/util/Random;ZLnet/minecraft/util/math/BlockPos$MutableBlockPos;)V,Ljava/util/Random;nextInt(I)I,3,0x21,0x1,FALSE
random_15,null,Lnet/minecraft/client/multiplayer/WorldClient;showBarrierParticles(IIIILjava/util/Random;ZLnet/minecraft/util/math/BlockPos$MutableBlockPos;)V,Ljava/util/Random;nextInt(I)I,4,0x21,0x1,FALSE
random_16,null,Lnet/minecraft/client/multiplayer/WorldClient;showBarrierParticles(IIIILjava/util/Random;ZLnet/minecraft/util/math/BlockPos$MutableBlockPos;)V,Ljava/util/Random;nextInt(I)I,5,0x21,0x1,FALSE
random_17,null,Lnet/minecraft/client/gui/GuiIngame;renderPlayerStats(Lnet/minecraft/client/gui/ScaledResolution;)V,Ljava/util/Random;setSeed(J)V,0,0x21,0x4,FALSE
random_18,null,Lnet/minecraft/client/gui/GuiIngame;renderPlayerStats(Lnet/minecraft/client/gui/ScaledResolution;)V,Ljava/util/Random;nextInt(I)I,1,0x21,0x4,FALSE
random_19,null,Lnet/minecraft/client/gui/GuiIngame;renderPlayerStats(Lnet/minecraft/client/gui/ScaledResolution;)V,Ljava/util/Random;nextInt(I)I,2,0x21,0x4,FALSE
random_20,null,Lnet/minecraftforge/client/GuiIngameForge;renderGameOverlay(F)V,Ljava/util/Random;setSeed(J)V,0,0x21,0x1,FALSE
random_21,null,Lnet/minecraftforge/client/GuiIngameForge;renderHealth(II)V,Ljava/util/Random;setSeed(J)V,0,0x21,0x1,TRUE
random_22,null,Lnet/minecraftforge/client/GuiIngameForge;renderHealth(II)V,Ljava/util/Random;nextInt(I)I,1,0x21,0x1,TRUE
random_23,null,Lnet/minecraftforge/client/GuiIngameForge;renderFood(II)V,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,TRUE
random_24,null,Lnet/minecraft/client/gui/GuiMainMenu;<init>()V,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_25,null,Lnet/minecraft/client/gui/GuiMainMenu;<init>()V,Ljava/util/Random;nextFloat()F,1,0x21,0x1,FALSE
random_26,null,Lnet/minecraft/entity/Entity;move(Lnet/minecraft/entity/MoverType;DDD)V,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_27,null,Lnet/minecraft/entity/Entity;move(Lnet/minecraft/entity/MoverType;DDD)V,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_28,null,Lnet/minecraft/entity/Entity;move(Lnet/minecraft/entity/MoverType;DDD)V,Ljava/util/Random;nextFloat()F,2,0x421,0x1,FALSE
random_29,null,Lnet/minecraft/entity/Entity;move(Lnet/minecraft/entity/MoverType;DDD)V,Ljava/util/Random;nextFloat()F,3,0x421,0x1,FALSE
splashSound,Pitch of splash sound,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
splashSound,Pitch of swim sound,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,1,0x421,0x4,FALSE
waterBubbleParticle,Position of bubble particle,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,2,0x421,0x4,FALSE
waterBubbleParticle,Position of bubble particle,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,3,0x421,0x4,FALSE
waterBubbleParticle,Position of bubble particle,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,4,0x421,0x4,FALSE
waterSplashParticle,Position of water splash particle,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,5,0x421,0x4,FALSE
waterSplashParticle,Position of water splash particle,Lnet/minecraft/entity/Entity;doWaterSplashEffect()V,Ljava/util/Random;nextFloat()F,6,0x421,0x4,FALSE
random_37,null,Lnet/minecraft/entity/Entity;createRunningParticles()V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_38,null,Lnet/minecraft/entity/Entity;createRunningParticles()V,Ljava/util/Random;nextFloat()F,1,0x421,0x4,FALSE
random_39,null,Lnet/minecraft/entity/Entity;pushOutOfBlocks(DDD)Z,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_40,null,Lnet/minecraft/entity/Entity;canTrample(Lnet/minecraft/world/World;Lnet/minecraft/block/Block;Lnet/minecraft/util/math/BlockPos;F)Z,Ljava/util/Random;nextFloat()F,0,0x421,0x1,TRUE
random_41,null,Lnet/minecraft/client/entity/EntityPlayerSP;onLivingUpdate()V,Ljava/util/Random;nextFloat()F,0,0x21,0x1,FALSE
random_42,null,Lnet/minecraft/entity/player/EntityPlayer;dropItem(Lnet/minecraft/item/ItemStack;ZZ)Lnet/minecraft/entity/item/EntityItem;,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_43,null,Lnet/minecraft/entity/player/EntityPlayer;dropItem(Lnet/minecraft/item/ItemStack;ZZ)Lnet/minecraft/entity/item/EntityItem;,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_44,null,Lnet/minecraft/entity/player/EntityPlayer;dropItem(Lnet/minecraft/item/ItemStack;ZZ)Lnet/minecraft/entity/item/EntityItem;,Ljava/util/Random;nextFloat()F,2,0x421,0x1,FALSE
random_45,null,Lnet/minecraft/entity/player/EntityPlayer;dropItem(Lnet/minecraft/item/ItemStack;ZZ)Lnet/minecraft/entity/item/EntityItem;,Ljava/util/Random;nextFloat()F,3,0x421,0x1,FALSE
random_46,null,Lnet/minecraft/entity/player/EntityPlayer;dropItem(Lnet/minecraft/item/ItemStack;ZZ)Lnet/minecraft/entity/item/EntityItem;,Ljava/util/Random;nextFloat()F,4,0x421,0x1,FALSE
random_47,null,Lnet/minecraft/entity/player/EntityPlayer;dropItem(Lnet/minecraft/item/ItemStack;ZZ)Lnet/minecraft/entity/item/EntityItem;,Ljava/util/Random;nextFloat()F,5,0x421,0x1,FALSE
random_48,null,Lnet/minecraft/entity/player/EntityPlayer;readEntityFromNBT(Lnet/minecraft/nbt/NBTTagCompound;)V,Ljava/util/Random;nextInt()I,0,0x421,0x1,FALSE
random_49,null,Lnet/minecraft/entity/player/EntityPlayer;damageShield(F)V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_50,null,Lnet/minecraft/entity/player/EntityPlayer;disableShield(Z)V,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_51,null,Lnet/minecraft/entity/player/EntityPlayer;onEnchant(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextInt()I,0,0x421,0x1,FALSE
random_52,null,Lnet/minecraft/entity/EntityLivingBase;onEntityUpdate()V,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_53,null,Lnet/minecraft/entity/EntityLivingBase;onEntityUpdate()V,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_54,null,Lnet/minecraft/entity/EntityLivingBase;onEntityUpdate()V,Ljava/util/Random;nextFloat()F,2,0x421,0x1,FALSE
random_55,null,Lnet/minecraft/entity/EntityLivingBase;onEntityUpdate()V,Ljava/util/Random;nextFloat()F,3,0x421,0x1,FALSE
random_56,null,Lnet/minecraft/entity/EntityLivingBase;onEntityUpdate()V,Ljava/util/Random;nextFloat()F,4,0x421,0x1,FALSE
random_57,null,Lnet/minecraft/entity/EntityLivingBase;onEntityUpdate()V,Ljava/util/Random;nextFloat()F,5,0x421,0x1,FALSE
random_58,null,Lnet/minecraft/entity/EntityLivingBase;onDeathUpdate()V,Ljava/util/Random;nextGaussian()D,0,0x421,0x4,FALSE
random_59,null,Lnet/minecraft/entity/EntityLivingBase;onDeathUpdate()V,Ljava/util/Random;nextGaussian()D,1,0x421,0x4,FALSE
random_60,null,Lnet/minecraft/entity/EntityLivingBase;onDeathUpdate()V,Ljava/util/Random;nextGaussian()D,2,0x421,0x4,FALSE
random_61,null,Lnet/minecraft/entity/EntityLivingBase;onDeathUpdate()V,Ljava/util/Random;nextFloat()F,3,0x421,0x4,FALSE
random_62,null,Lnet/minecraft/entity/EntityLivingBase;onDeathUpdate()V,Ljava/util/Random;nextFloat()F,4,0x421,0x4,FALSE
random_63,null,Lnet/minecraft/entity/EntityLivingBase;onDeathUpdate()V,Ljava/util/Random;nextFloat()F,5,0x421,0x4,FALSE
random_64,null,Lnet/minecraft/entity/EntityLivingBase;decreaseAirSupply(I)I,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
random_65,null,Lnet/minecraft/entity/EntityLivingBase;updatePotionEffects()V,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
random_66,null,Lnet/minecraft/entity/EntityLivingBase;updatePotionEffects()V,Ljava/util/Random;nextBoolean()Z,1,0x421,0x4,FALSE
random_67,null,Lnet/minecraft/entity/EntityLivingBase;updatePotionEffects()V,Ljava/util/Random;nextInt(I)I,2,0x421,0x4,FALSE
random_68,null,Lnet/minecraft/entity/EntityLivingBase;updatePotionEffects()V,Ljava/util/Random;nextDouble()D,3,0x421,0x4,FALSE
random_69,null,Lnet/minecraft/entity/EntityLivingBase;updatePotionEffects()V,Ljava/util/Random;nextDouble()D,4,0x421,0x4,FALSE
random_70,null,Lnet/minecraft/entity/EntityLivingBase;updatePotionEffects()V,Ljava/util/Random;nextDouble()D,5,0x421,0x4,FALSE
random_71,null,Lnet/minecraft/entity/EntityLivingBase;attackEntityFrom(Lnet/minecraft/util/DamageSource;F)Z,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_72,null,Lnet/minecraft/entity/EntityLivingBase;renderBrokenItemStack(Lnet/minecraft/item/ItemStack;)V,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_73,null,Lnet/minecraft/entity/EntityLivingBase;renderBrokenItemStack(Lnet/minecraft/item/ItemStack;)V,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_74,null,Lnet/minecraft/entity/EntityLivingBase;renderBrokenItemStack(Lnet/minecraft/item/ItemStack;)V,Ljava/util/Random;nextFloat()F,2,0x421,0x1,FALSE
random_75,null,Lnet/minecraft/entity/EntityLivingBase;renderBrokenItemStack(Lnet/minecraft/item/ItemStack;)V,Ljava/util/Random;nextFloat()F,3,0x421,0x1,FALSE
random_76,null,Lnet/minecraft/entity/EntityLivingBase;knockBack(Lnet/minecraft/entity/Entity;FDD)V,Ljava/util/Random;nextDouble()D,0,0x421,0x1,FALSE
random_77,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_78,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_79,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,2,0x421,0x1,FALSE
random_80,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,3,0x421,0x1,FALSE
random_81,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,4,0x421,0x1,FALSE
random_82,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,5,0x421,0x1,FALSE
random_83,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,6,0x421,0x1,FALSE
random_84,null,Lnet/minecraft/entity/EntityLivingBase;handleStatusUpdate(B)V,Ljava/util/Random;nextFloat()F,7,0x421,0x1,FALSE
random_85,null,Lnet/minecraft/entity/EntityLivingBase;getSoundPitch()F,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_86,null,Lnet/minecraft/entity/EntityLivingBase;getSoundPitch()F,Ljava/util/Random;nextFloat()F,1,0x421,0x4,FALSE
