Recognisable Name	 Description	 Qualified Name	 Target	 Ordinal	 ClassAccess	 MethodAccess	Don't Remap	Don't change	IsClient?	Static
con	Connection Stuff	Lio/netty/channel/DefaultChannelId;<init>()V	Ljava/util/Random;nextInt()I	0	0x31	0x2	TRUE	TRUE	FALSE	FALSE
con	Connection Stuff	Lio/netty/channel/DefaultChannelId;defaultProcessId()I	Ljava/util/Random;nextInt()I	0	0x31	0xa	TRUE	TRUE	FALSE	FALSE
con	Connection Stuff	Lio/netty/util/internal/MacAddressUtil;defaultMachineId()[B	Ljava/util/Random;nextBytes([B)V	0	0x31	0x9	TRUE	TRUE	FALSE	FALSE
nettyLeakDetector	Sampling interval for leak	Lio/netty/util/ResourceLeakDetector;track0(Ljava/lang/Object;)Lio/netty/util/ResourceLeakDetector$DefaultResourceLeak;	Ljava/util/Random;nextInt(I)I	0	0x21	0x2	TRUE	TRUE	FALSE	FALSE
fastutilArrayShuffle	Shuffles arrays	Lit/unimi/dsi/fastutil/ints/IntArrays;shuffle([IIILjava/util/Random;)[I	Ljava/util/Random;nextInt(I)I	0	0x21	0x9	TRUE	TRUE	FALSE	FALSE
fastutilArrayShuffle	Shuffles arrays	Lit/unimi/dsi/fastutil/ints/IntArrays;shuffle([ILjava/util/Random;)[I	Ljava/util/Random;nextInt(I)I	0	0x21	0x9	TRUE	TRUE	FALSE	FALSE
advancementRewardsLoot	Map makers can decide on random rewards for advancements	Lnet/minecraft/advancements/AdvancementRewards;apply(Lnet/minecraft/entity/player/EntityPlayerMP;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
advancementRewardsLoot	Map makers can decide on random rewards for advancements	Lnet/minecraft/advancements/AdvancementRewards;apply(Lnet/minecraft/entity/player/EntityPlayerMP;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	FALSE	FALSE
blockDropItemChance	If a drop should be dropped	Lnet/minecraft/block/Block;dropBlockAsItemWithChance(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;FI)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
blockDropPosition	Where the spawned item should spawn	Lnet/minecraft/block/Block;spawnAsEntity(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/item/ItemStack;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x9	FALSE	FALSE	FALSE	FALSE
blockDropPosition	Where the spawned item should spawn	Lnet/minecraft/block/Block;spawnAsEntity(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/item/ItemStack;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x9	FALSE	FALSE	FALSE	FALSE
blockDropPosition	Where the spawned item should spawn	Lnet/minecraft/block/Block;spawnAsEntity(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/item/ItemStack;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x9	FALSE	FALSE	FALSE	FALSE
checkAndDropBeetroot	Chance per tick of dropping beetroot if block below isn't sustainable for beetroot	Lnet/minecraft/block/BlockBeetroot;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
brewingStandParticlePositionX	Get the X of the position of a particle of a brewing stand	Lnet/minecraft/block/BlockBrewingStand;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
brewingStandParticlePositionY	Get the Y of the position of a particle of a brewing stand	Lnet/minecraft/block/BlockBrewingStand;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	FALSE	FALSE
brewingStandParticlePositionZ	Get the Z of the position of a particle of a brewing stand	Lnet/minecraft/block/BlockBrewingStand;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x1	FALSE	FALSE	FALSE	FALSE
cauldronFillWIthRain	Chance of a cauldron increasing the water level during rain	Lnet/minecraft/block/BlockCauldron;fillWithRain(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
chorusGrow	Random direction a chorus flower grows	Lnet/minecraft/block/BlockChorusFlower;growTreeRecursive(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;Lnet/minecraft/util/math/BlockPos;II)V	Ljava/util/Random;nextInt(I)I	0	0x21	0xa	FALSE	FALSE	FALSE	FALSE
chorusGrowDirection	Random direction a chorus flower grows	Lnet/minecraft/block/BlockChorusFlower;growTreeRecursive(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;Lnet/minecraft/util/math/BlockPos;II)V	Ljava/util/Random;nextInt(I)I	1	0x21	0xa	FALSE	FALSE	FALSE	FALSE
